gen AVG
0 69.75 
1 72.25 
2 70.05 
3 84.5 
4 97.05 
5 96.75 
6 90.25 
7 89.65 
8 96.2 
9 98.75 
10 99.65 
11 100.3 
12 106.3 
13 100.55 
14 106.75 
15 99.65 
16 98.05 
17 110.85 
18 89.05 
19 95.95 
20 98.5 
21 101.8 
22 98.05 
23 93.9 
24 96.05 
25 105.25 
26 104.45 
27 100.5 
28 113.45 
29 101.2 
30 102.5 
31 101.8 
32 110.95 
33 109.05 
34 103.25 
35 112.25 
36 108.1 
37 111.7 
38 92.45 
39 110.35 
40 96.85 
41 98.8 
42 93.05 
43 112.35 
44 99.8 
45 105.9 
46 96.0 
47 96.35 
48 88.2 
49 104.45 
