gen AVG
0 75.05 
1 93.25 
2 96.35 
3 107.75 
4 99.4 
5 99.55 
6 98.5 
7 92.4 
8 97.1 
9 99.85 
10 94.5 
11 110.75 
12 104.05 
13 110.75 
14 108.9 
15 116.0 
16 108.9 
17 100.35 
18 96.9 
19 104.3 
20 93.65 
21 104.75 
22 110.45 
23 110.4 
24 103.75 
25 107.7 
26 101.75 
27 106.3 
28 113.9 
29 99.85 
30 105.6 
31 108.5 
32 104.95 
33 106.8 
34 94.7 
35 102.35 
36 98.1 
37 102.55 
38 96.95 
39 103.8 
40 103.7 
41 104.95 
42 105.55 
43 102.6 
44 101.55 
45 99.35 
46 106.9 
47 107.35 
48 110.25 
49 103.85 
