gen AVG
0 57.5 
1 67.25 
2 73.15 
3 75.05 
4 84.0 
5 87.4 
6 95.65 
7 88.7 
8 102.55 
9 102.45 
10 97.5 
11 97.6 
12 92.4 
13 103.1 
14 101.15 
15 115.8 
16 79.3 
17 97.1 
18 93.6 
19 97.6 
20 112.4 
21 108.95 
22 110.65 
23 102.9 
24 104.15 
25 116.8 
26 93.55 
27 102.9 
28 91.15 
29 105.55 
30 110.75 
31 101.3 
32 98.25 
33 97.4 
34 91.05 
35 115.15 
36 118.15 
37 98.9 
38 114.75 
39 92.45 
40 100.2 
41 100.55 
42 90.6 
43 108.25 
44 101.95 
45 109.0 
46 108.25 
47 117.25 
48 121.05 
49 103.7 
